@relation vestibular

@attribute pontos {'20-40 pontos','40-60 pontos','60-80 pontos','acima 80 pontos','menos 20 pontos'}
@attribute curso {'ENGENHARIA AGRONOMICA','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO',INFORMATICA,AGROPECUARIA,'CIENCIA DA COMPUTACAO','ENSINO MEDIO E TECNICO EM INFORMATICA','CIENCIAS BIOLOGICAS','EDUCACAO FISICA','MEIO AMBIENTE',ENFERMAGEM,'ENSINO MEDIO E TECNICO EM ALIMENTOS','SEGURANCA DO TRABALHO'}
@attribute grau {SUPERIOR,'ENSINO MEDIO E TECNICO',TECNICO,LICENCIATURA,BACHARELADO}
@attribute periodo {INTEGRAL,NOTURNO,VESPERTINO}
@attribute sexo {M,F}
@attribute idade {'entre 23 e 30','menor 17','entre 18 e 22','17 anos','entre 31 e 40','acima 40'}
@attribute local_origem {'Zona Urbana','Zona Rural'}
@attribute tipo_instituicao {'Apenas em escola publica','A maior parte em escola publica','Apenas em escola particular','A maior parte em escola particular'}
@attribute renda_familiar {'Maior que R$ 1530,00','R$ 511,00 a 765,00','R$ 1276,00 a 1530,00','R$ 766,00 a 1275,00','R$ 255,00 a 510,00','Menor que R$ 255,00'}
@attribute tipo_residencia {Alugada,Propria,Outros,Financiada}
@attribute grau_escolaridade {'MEdio Completo',Fundamental,'MEdio Incompleto'}
@attribute motivo {'RealizaCAo pessoal','Possibilidades no mercado de trabalho','outro motivo','PrestIgio social da profissAo','InfluEncia da famIlia e/ou amigos','ContribuiCAo para a sociedade','Resultados de testes vocacionais','O curso so existe neste Instituto','Baixa concorrEncia no vestibular'}
@attribute transporte {proprio,Onibus/van,carona,outro,'nenhum (a pE)',bicicleta}
@attribute instrucao_pai {'Ensino MEdio Incompleto','Ensino Fundam. incompleto','Ensino MEdio Completo','Ensino Fundamental Completo','Ensino Superior Completo',Analfabeto,'Ensino Superior incompleto',Pos-graduaCAo}
@attribute instrucao_mae {'Ensino MEdio Completo','Ensino Fundam. incompleto','Ensino Fundamental Completo','Ensino MEdio Incompleto',Pos-graduaCAo,'Ensino Superior incompleto','Ensino Superior Completo',Analfabeto}
@attribute automovel {Sim,NAo}
@attribute livros {'Nenhum livro','1 ou 2 livros','Mais de 5 livros','3 a 4 livros'}
@attribute leitura {Outro,FicCAo,TEcnico-cientIfico,Romance,Religioso}
@attribute internet {Diariamente,'NAo utiliza','Semanalmente (algumas vezes)','Somente nos Finais de semana',Mensalmente,Quinzenalmente}

@data
'20-40 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,M,'entre 23 e 30','Zona Urbana','Apenas em escola publica','Maior que R$ 1530,00',Alugada,'MEdio Completo','RealizaCAo pessoal',proprio,'Ensino MEdio Incompleto','Ensino MEdio Completo',Sim,'Nenhum livro',Outro,Diariamente
'40-60 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,M,'menor 17','Zona Rural','Apenas em escola publica','R$ 511,00 a 765,00',Propria,Fundamental,'RealizaCAo pessoal',Onibus/van,'Ensino Fundam. incompleto','Ensino Fundam. incompleto',Sim,'1 ou 2 livros',Outro,'NAo utiliza'
'60-80 pontos',INFORMATICA,TECNICO,NOTURNO,F,'entre 23 e 30','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Propria,'MEdio Completo','Possibilidades no mercado de trabalho',carona,'Ensino Fundam. incompleto','Ensino Fundamental Completo',NAo,'1 ou 2 livros',Outro,Diariamente
'40-60 pontos',AGROPECUARIA,TECNICO,INTEGRAL,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 1276,00 a 1530,00',Propria,'MEdio Completo','outro motivo',Onibus/van,'Ensino MEdio Completo','Ensino MEdio Incompleto',Sim,'1 ou 2 livros',FicCAo,Diariamente
'40-60 pontos','CIENCIA DA COMPUTACAO',SUPERIOR,NOTURNO,F,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Propria,'MEdio Incompleto','Possibilidades no mercado de trabalho',Onibus/van,'Ensino Fundam. incompleto','Ensino MEdio Completo',Sim,'Mais de 5 livros',Outro,Diariamente
'60-80 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Rural','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,Fundamental,'Possibilidades no mercado de trabalho',Onibus/van,'Ensino Fundam. incompleto','Ensino MEdio Completo',Sim,'1 ou 2 livros',TEcnico-cientIfico,'Semanalmente (algumas vezes)'
'40-60 pontos','CIENCIA DA COMPUTACAO',SUPERIOR,NOTURNO,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','Maior que R$ 1530,00',Alugada,'MEdio Completo','RealizaCAo pessoal',proprio,'Ensino MEdio Completo','Ensino MEdio Incompleto',Sim,'Mais de 5 livros',Romance,Diariamente
'20-40 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,F,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 1276,00 a 1530,00',Alugada,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino MEdio Completo','Ensino MEdio Completo',Sim,'1 ou 2 livros',Outro,Diariamente
'40-60 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,Fundamental,'RealizaCAo pessoal',carona,'Ensino Fundam. incompleto','Ensino MEdio Completo',Sim,'1 ou 2 livros',Romance,Diariamente
'20-40 pontos','CIENCIA DA COMPUTACAO',SUPERIOR,NOTURNO,F,'entre 23 e 30','Zona Urbana','A maior parte em escola publica','R$ 1276,00 a 1530,00',Propria,'MEdio Completo','Possibilidades no mercado de trabalho',proprio,'Ensino MEdio Completo','Ensino Fundam. incompleto',Sim,'1 ou 2 livros',FicCAo,Diariamente
